epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.738,2.24349,2.24091,2.49603,0.73976,0.79787,0.76071,0.29635,2.01536,1.25181,2.2333,0.0670801,0.000332524,0.000332524
1,74.9914,2.47215,1.97428,2.4209,0.92143,0.93566,0.94713,0.45774,1.89166,0.92857,1.64683,0.0670136,0.000266019,0.000266019
2,147.05,1.88331,1.04236,1.69676,0.92552,0.92766,0.9522,0.53768,1.70571,0.84329,1.53648,0.0339434,0.000529153,0.000529153
3,217.165,1.78889,0.93238,1.5778,0.94556,0.96088,0.97649,0.53038,1.64584,0.83419,1.46086,0.000869654,0.000788748,0.000788748
4,287.935,1.68597,0.86054,1.52356,0.96105,0.95851,0.97639,0.58458,1.5061,0.75924,1.37561,0.00078408,0.00078408,0.00078408
5,357.868,1.6671,0.80233,1.47921,0.96201,0.96543,0.97718,0.54965,1.61867,0.7478,1.41946,0.000778773,0.000778773,0.000778773
6,427.891,1.61765,0.77529,1.44425,0.95285,0.96809,0.98019,0.59477,1.50215,0.74294,1.35968,0.000773467,0.000773467,0.000773467
7,497.558,1.5948,0.75679,1.4512,0.97365,0.88511,0.95769,0.60834,1.50162,0.6843,1.36873,0.00076816,0.00076816,0.00076816
8,567.098,1.56915,0.73076,1.42256,0.91364,0.81596,0.86877,0.51167,1.67868,0.99409,1.46968,0.000762853,0.000762853,0.000762853
9,636.565,1.56619,0.71847,1.40909,0.98095,0.98936,0.99146,0.64353,1.38322,0.64412,1.30071,0.000757547,0.000757547,0.000757547
10,706.344,1.52102,0.70527,1.39355,0.97335,0.97819,0.98777,0.60079,1.45951,0.66118,1.31966,0.00075224,0.00075224,0.00075224
11,776.139,1.53772,0.70373,1.39706,0.94964,0.9734,0.98227,0.63148,1.41987,0.6293,1.30693,0.000746933,0.000746933,0.000746933
12,845.589,1.52699,0.69089,1.39402,0.97479,0.98713,0.98963,0.59828,1.53797,0.66954,1.3482,0.000741627,0.000741627,0.000741627
13,915.246,1.50136,0.67047,1.37733,0.9754,0.98723,0.99168,0.63434,1.36436,0.59652,1.28379,0.00073632,0.00073632,0.00073632
14,988.158,1.49211,0.66506,1.37873,0.96787,0.98457,0.98966,0.64005,1.37547,0.62284,1.28163,0.000731013,0.000731013,0.000731013
15,1059.07,1.47193,0.6539,1.35687,0.94517,0.97447,0.98195,0.58966,1.51191,0.62431,1.35367,0.000725707,0.000725707,0.000725707
16,1131.69,1.46729,0.64516,1.35588,0.97271,0.98574,0.99205,0.63254,1.37284,0.60091,1.27435,0.0007204,0.0007204,0.0007204
17,1202.55,1.47549,0.64135,1.36128,0.95953,0.97098,0.98611,0.65249,1.36124,0.60236,1.27674,0.000715093,0.000715093,0.000715093
18,1273.84,1.46511,0.63669,1.35518,0.98223,0.98564,0.99133,0.62661,1.43575,0.60579,1.30851,0.000709787,0.000709787,0.000709787
19,1345.37,1.4443,0.63152,1.35021,0.97017,0.98511,0.99217,0.6563,1.32671,0.57417,1.25822,0.00070448,0.00070448,0.00070448
20,1417.19,1.45234,0.62103,1.35268,0.9758,0.9868,0.99201,0.64687,1.36595,0.59097,1.26852,0.000699173,0.000699173,0.000699173
21,1489.16,1.44068,0.62379,1.34225,0.95494,0.9867,0.9914,0.64945,1.3526,0.57209,1.26855,0.000693867,0.000693867,0.000693867
22,1560.83,1.42507,0.60991,1.33222,0.97328,0.97819,0.98717,0.64074,1.37582,0.57382,1.28565,0.00068856,0.00068856,0.00068856
23,1632.19,1.43496,0.61082,1.33558,0.98567,0.9883,0.99359,0.65718,1.32212,0.5748,1.25668,0.000683253,0.000683253,0.000683253
24,1704.64,1.41076,0.60542,1.33405,0.98021,0.98989,0.99305,0.6736,1.31679,0.54931,1.25488,0.000677947,0.000677947,0.000677947
25,1776.54,1.41964,0.60115,1.34124,0.9784,0.9867,0.99233,0.66524,1.32891,0.55855,1.25939,0.00067264,0.00067264,0.00067264
26,1848.5,1.41752,0.59385,1.34276,0.98538,0.98777,0.99309,0.68011,1.29314,0.5452,1.23955,0.000667333,0.000667333,0.000667333
27,1920.16,1.40476,0.59151,1.32884,0.98414,0.98298,0.99047,0.65423,1.37198,0.56454,1.27165,0.000662027,0.000662027,0.000662027
28,1991.76,1.40061,0.58885,1.32313,0.97291,0.98564,0.99126,0.66586,1.30468,0.55205,1.24162,0.00065672,0.00065672,0.00065672
