epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7468,5.64182,105.169,3.18087,0,0,0,0,8.94936,18.0753,3.65238,0.00066087,0.00066087,0.00066087
2,27.9803,3.99145,8.24776,2.27919,0.00022,0.01466,0.0001,3e-05,2.85645,78.0305,1.37334,0.00132228,0.00132228,0.00132228
3,40.7401,3.77321,5.24235,1.95512,0.31069,0.14275,0.12942,0.03507,3.61156,2.32831,1.80816,0.00197841,0.00197841,0.00197841
4,53.6058,3.51442,3.69528,1.76368,0.33857,0.41642,0.22508,0.0773,3.54305,1.96914,1.73698,0.00197624,0.00197624,0.00197624
5,66.1448,3.43808,3.27591,1.68555,0.00325,0.21994,0.01296,0.00256,4.79994,2.72138,2.19032,0.00196832,0.00196832,0.00196832
6,78.6998,3.44499,2.74411,1.68344,0.33541,0.14801,0.13224,0.04019,4.29718,1.96157,1.7887,0.0019604,0.0019604,0.0019604
7,91.2769,3.21533,2.31416,1.61823,0.41162,0.27566,0.22527,0.0779,3.52196,1.74568,1.66719,0.00195248,0.00195248,0.00195248
8,104.237,3.24809,2.02417,1.63218,0.42555,0.34897,0.25769,0.08446,3.87474,1.66928,1.67929,0.00194456,0.00194456,0.00194456
9,117.171,3.25405,1.90498,1.59329,0.45923,0.50804,0.37221,0.11777,3.22635,1.21548,1.51042,0.00193664,0.00193664,0.00193664
10,129.957,3.27875,1.8239,1.57341,0.45798,0.51787,0.38517,0.10812,3.09219,1.22453,1.48641,0.00192872,0.00192872,0.00192872
11,142.676,3.19287,1.64769,1.57719,0.52037,0.58944,0.48877,0.17316,2.96707,1.04045,1.46708,0.0019208,0.0019208,0.0019208
12,155.268,3.21295,1.53408,1.57919,0.36237,0.28152,0.2543,0.08919,3.23818,1.48366,1.53898,0.00191288,0.00191288,0.00191288
13,168.044,3.11315,1.39605,1.54897,0.5989,0.65689,0.59526,0.20029,2.86059,0.88412,1.41594,0.00190496,0.00190496,0.00190496
14,180.631,3.1488,1.40102,1.53347,0.18878,0.1173,0.08343,0.0268,5.42018,1.66753,1.96552,0.00189704,0.00189704,0.00189704
15,193.249,3.19295,1.36057,1.53957,0.60475,0.65511,0.58115,0.20838,2.79554,0.89266,1.41273,0.00188912,0.00188912,0.00188912
16,205.833,3.05639,1.22797,1.52113,0.66321,0.65256,0.62032,0.21574,2.79801,0.88981,1.39646,0.0018812,0.0018812,0.0018812
17,218.771,3.05354,1.18862,1.50979,0.70751,0.61006,0.61262,0.2146,2.8902,1.01179,1.4154,0.00187328,0.00187328,0.00187328
18,231.699,3.05009,1.15446,1.53561,0.28664,0.27273,0.18783,0.0601,3.74506,1.44068,1.59779,0.00186536,0.00186536,0.00186536
19,245.059,2.97558,1.12999,1.5022,0.55966,0.53959,0.52455,0.17402,2.94486,1.02969,1.43042,0.00185744,0.00185744,0.00185744
